names,ratings,price,num_reviews,annual_power_usage
Panasonic 2026 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.3,"₹44,990","20,397 Ratings & 2,172 Reviews","Annual Power Usage: 681.01 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹36,990","22,656 Ratings & 2,219 Reviews","Annual Power Usage: 877.74 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
LG 2025 Model 1 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 with Faster Cooling and Energy...,4.2,"₹36,290","7,200 Ratings & 775 Reviews","Annual Power Usage: 515.84 UnitsRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
"LG 2026 Model 1.5 ton 3 Star Split Smart Inverter Faster Cooling and Energy Saving, AI Convertible 6-i...",4.1,"₹35,990","40,216 Ratings & 3,803 Reviews","Annual Power Usage: 769.55 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive warranty on Product, 5 Year warranty on PCB & Motor and 10 Year warranty on Compressor"
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Faster Cooling and Energy Saving, AI Convertible...",4.2,"₹41,290","43,013 Ratings & 4,078 Reviews",Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product
LG 2025 Model 2 Ton 3 Star Split AI Dual Inverter AI Convertible 6-in-1 Faster Cooling and Energy Savi...,4.1,"₹50,990","1,496 Ratings & 111 Reviews","Annual Power Usage: 1218.49 UnitsRoom Size: 151 - 200 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
LG 2025 Model 1.5 Ton 3 Star Split AI Dual Inverter AI Convertible 6-in-1 with Faster Cooling and Ener...,4.1,"₹33,990","40,216 Ratings & 3,803 Reviews","Annual Power Usage: 852.44 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
Panasonic 2026 Model 1 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹33,990","5,201 Ratings & 593 Reviews","Annual Power Usage: 593.89 kWhRoom Size: 90 sqft or Below5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
"LG 2026 Model 1.5 ton 3 Star Split Smart Inverter with Wi-fi Faster Cooling and Energy Saving, Energy ...",4.1,"₹37,490","40,216 Ratings & 3,803 Reviews","Annual Power Usage: 769.55 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive warranty on Product, 5 Year warranty on PCB & Motor and 10 Year warranty on Compressor"
"LG 2025 Model 1.5 Ton 3 Star Hot and Cold Split Dual Inverter All-Weather Comfort,Convertible 5-in-1 C...",4.1,"₹39,990","40,216 Ratings & 3,803 Reviews","Annual Power Usage: 966.86 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Year Warranty on PCB & Motor and 10 Year Warranty on Compressor"
